,Month,Overview,Titles,Year
0,03,"The Doctor looks and seems human. He's handsome, witty, and could be mistaken for just another man in the street. But he is a Time Lord: a 900 year old alien with 2 hearts, part of a gifted civilization who mastered time travel. The Doctor saves planets for a living – more of a hobby actually, and he's very, very good at it. He's saved us from alien menaces and evil from before time began – but just who is he?",Doctor Who,2005
1,09,"The exploits of FBI Special Agents Fox Mulder and Dana Scully who investigate X-Files: marginalized, unsolved cases involving paranormal phenomena. Mulder believes in the existence of aliens and the paranormal while Scully, a skeptic, is assigned to make scientific analyses of Mulder's discoveries that debunk Mulder's work and thus return him to mainstream cases.",The X-Files,1993
2,11,"The adventures of a Time Lord—a time-travelling humanoid alien known as the Doctor—who explores the universe in his TARDIS, a sentient time-travelling space ship. Its exterior appears as a blue British police box, which was a common sight in Britain in 1963 when the series first aired. Along with a succession of companions, the Doctor faces a variety of foes while working to save civilisations, help ordinary people, and right wrongs.

The show has received recognition as one of Britain's finest television programmes, winning the 2006 British Academy Television Award for Best Drama Series and five consecutive awards at the National Television Awards during Russell T Davies's tenure as Executive Producer. In 2011, Matt Smith became the first Doctor to be nominated for a BAFTA Television Award for Best Actor. In 2013, the Peabody Awards honoured Doctor Who with an Institutional Peabody ""for evolving with technology and the times like nothing else in the known television universe."" The programme is listed in Guinness World Records as the longest-running science fiction television show in the world and as the ""most successful"" science fiction series of all time—based on its over-all broadcast ratings, DVD and book sales, and iTunes traffic. During its original run, it was recognised for its imaginative stories, creative low-budget special effects, and pioneering use of electronic music.",Doctor Who,1963
3,09,"Star Trek: The Next Generation is an American science fiction television series created by Gene Roddenberry as part of the Star Trek franchise. The show is set in the nearby regions of the Milky Way galaxy, approximately during the 2360s and features a new crew and a new starship Enterprise.",Star Trek: The Next Generation,1987
4,09,"Space. The Final Frontier. The U.S.S. Enterprise embarks on a five year mission to explore the galaxy. The Enterprise is under the command of Captain James T. Kirk with First Officer Mr. Spock, from the planet Vulcan. With a determined crew, the Enterprise encounters Klingons, Romulans, time paradoxes, tribbles and genetic supermen lead by Khan Noonian Singh. Their mission is to explore strange new worlds, to seek new life and new civilizations, and to boldly go where no man has gone before.",Star Trek,1966
5,10,"Smallville is an American television series developed by writers/producers Alfred Gough and Miles Millar. It is based on the DC Comics character Superman, originally created by Jerry Siegel and Joe Shuster. The series follows the adventures of Clark Kent, who resides in the fictional town of Smallville, Kansas, during the years before he becomes Superman. The first four seasons focus on Clark and his friends' high school years. After season five, the show ventured into more adult settings, eventually focusing on his career at the Daily Planet, as well as introducing other DC comic book superheroes and villains.",Smallville,2001
6,07,"The story of Stargate SG-1 begins about a year after the events of the feature film, when the United States government learns that an ancient alien device called the Stargate can access a network of such devices on a multitude of planets. SG-1 is an elite Air Force special operations team, one of more than two dozen teams from Earth who explore the galaxy and defend against alien threats such as the Goa'uld, Replicators, and the Ori.",Stargate SG-1,1997
7,09,"Ten years before Kirk, Spock, and the Enterprise there was Discovery.  Star Trek, one of the most iconic and influential global television franchises, returns 50 years after it first premiered featuring a new ship, new characters and new missions, while embracing the same ideology and hope for the future that inspired a generation of dreamers and doers.",Star Trek: Discovery,2017
8,01,"Star Trek: Deep Space Nine is a science fiction television series set in the Star Trek universe.

The show is set in the Milky Way galaxy, in the years 2369 - 2375. Unlike the other Star Trek TV shows, it takes place on a space station instead of a starship, so as not to have two series with starships at the same time. This made continuing story arcs and the appearance of recurring characters much more feasible. The show is noted for its well-developed characters and its original, complex plots. The series depended on darker themes, less physical exploration of space, and an emphasis on many aspects of war.

DS9 premiered in 1993 and ran for seven seasons, ending in 1999. Rooted in Gene Roddenberry’s Star Trek universe, it was the first Trek spin-off created without direct involvement from Roddenberry, although he did give his blessing to the concept shortly before his death in 1991. The series was created by Rick Berman and Michael Piller, at the request of Brandon Tartikoff, and produced by Paramount Television. Key writers, in addition to Berman and Piller, included showrunner Ira Steven Behr, Robert Hewitt Wolfe, Ronald D. Moore, Peter Allan Fields, Bradley Thompson, David Weddle, Hans Beimler, and René Echevarria.",Star Trek: Deep Space Nine,1993
9,01,"Pulled to the far side of the galaxy, where the Federation is 75 years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.",Star Trek: Voyager,1995
10,07,"With the Ancients' city of Atlantis discovered in the Pegasus Galaxy by Stargate Command, Dr. Elizabeth Weir and Major Sheppard lead a scientific expedition to the ancient abandoned city. Once there, the team not only find themselves unable to contact Earth, but their explorations unexpectedly reawaken the Ancients' deadly enemies, The Wraith, who hunger for this new prey. Now with the help of newfound local allies like Teyla Emmagan, the Atlantis Team sets about to uncover their new home's secrets even as their war of survival against the Wraith begins.",Stargate Atlantis,2004
11,09,"Star Trek: Enterprise is a science fiction TV series and a prequel to the original Star Trek set 100 years before. The series premiered September 26, 2001 on the UPN television network with the final episode airing on May 13, 2005.

The series takes place in the 22nd century aboard Earth's first warp 5 capable starship Enterprise NX-01 designed for long-range exploration of the galaxy and captained by Jonathan Archer. The NX designation indicates that this Enterprise is an experimental prototype.",Star Trek: Enterprise,2001
12,10,"The adventures of a present-day, multinational exploration team traveling on the Ancient spaceship Destiny many billions of light years distant from the Milky Way Galaxy. They evacuated there and are now trying to figure out a way to return to Earth, while simultaneously trying to explore and to survive in their unknown area of the universe.",Stargate Universe,2009
13,04,"Defiance is an American science fiction television show that takes place in the future on a radically transformed Earth containing new species arriving from space. In the show, Joshua Nolan works as the lawman for the town of Defiance, a community where humans and intelligent extraterrestrial species coexist. The show follows Nolan, his adopted alien daughter Irisa, and the town's new mayor Amanda Rosewater.",Defiance,2013
14,10,"Andromeda is a Canadian/American science fiction television series, based on unused material by the late Star Trek creator Gene Roddenberry, developed by Robert Hewitt Wolfe, and produced by Roddenberry's widow, Majel Barrett. It starred Kevin Sorbo as High Guard Captain Dylan Hunt. The series premiered on October 2, 2000 and ended on May 13, 2005.

Andromeda was filmed in Vancouver, British Columbia, Canada, and produced by Tribune Entertainment and Fireworks Entertainment. It was distributed by Global TV in Canada and syndicated in the United States on WGN and other channels. It was picked up by the Sci-Fi Channel in the U.S. halfway through season four. Andromeda is one of two TV series based upon concepts Roddenberry had created as early as the 1960s and 1970s. The name Dylan Hunt had also been used for the hero of two TV movie pilots Roddenberry had produced in the mid-1970s, Genesis II and Planet Earth, which had a similar premise. The other series posthumously created from Roddenberry's notes is Earth: Final Conflict.",Andromeda,2000
